Ciudad,via,tipo radar,km,direccion
Islas Baleares,ME-1,Radar Fijo,20.442,Creciente
Islas Baleares,ME-1,Radar Fijo,21.215,Decreciente
Islas Baleares,Me-1,Radar Móvil,0.000-20.920,20.920
Islas Baleares,ME-1,Radar Fijo,13.75,Decreciente
Islas Baleares,ME-1,Radar Fijo,13.8,Creciente
Islas Baleares,Me-1,Radar Móvil,29.100-42.680,42.680
Islas Baleares,Me-12,Radar Móvil,0.780-11.000,11.000
Islas Baleares,Me-7,Radar Móvil,14.900-22.450,22.450
Islas Baleares,PM-801,Radar Móvil,1.250-4.820,4.820
Islas Baleares,PM-803,Radar Móvil,0.000-20.610,20.610
Islas Baleares,PM-804,Radar Móvil,0.000-5.150,5.150
Islas Baleares,PM-804,Radar Móvil,5.150-11.240,11.240
Islas Baleares,PM-810,Radar Móvil,0.000-5.740,5.740
Islas Baleares,PM-810,Radar Móvil,7.410-19.560,19.560
Burgos,A-1,Radar Fijo,234.417,Creciente
Burgos,A-1,Radar Fijo,237.557,Decreciente
Burgos,A-1,Radar Fijo,194.27,Creciente
Burgos,BU-120,Radar Móvil,0.000-15.500,15.500
Burgos,BU-550,Radar Móvil,15.880-44.500,44.500
Burgos,BU-910,Radar Móvil,2.429-14.679,14.679
Burgos,BU-925,Radar Móvil,2.211-18.772,18.772
Burgos,CL-117,Radar Móvil,0.000-32.940,32.940
Burgos,CL-619,Radar Móvil,35.000-72.520,72.520
Burgos,CL-628,Radar Móvil,0.000-7.700,7.700
Burgos,CL-629,Radar Fijo,75,Decreciente
Burgos,CL-629,Radar Móvil,0.000-46.900,46.900
Burgos,CL-629,Radar Fijo,68.25,Creciente
Burgos,CL-629,Radar Móvil,82.500-104.790,104.790
Burgos,CL-629,Radar Fijo,87.5,Creciente
Burgos,CL-629,Radar Fijo,99.5,Decreciente
Burgos,N-120,Radar Fijo,67.675,Decreciente
Burgos,N-120,Radar Móvil,117.300-125.330,125.330
Burgos,N-120,Radar Móvil,143.040-160.660,160.660
Burgos,N-120,Radar Móvil,160.640-166.390,166.390
Burgos,N-122,Radar Móvil,247.040-268.790,268.790
Burgos,N-122,Radar Fijo,262.2,Ambos
Burgos,N-122,Radar Fijo,264.4,Creciente
Burgos,N-122,Radar Móvil,273.810-296.550,296.550
Burgos,N-232,Radar Móvil,467.880-473.000,473.000
Burgos,N-232,Radar Móvil,480.750-500.480,500.480
Burgos,N-234,Radar Móvil,408.400-435.780,435.780
Burgos,N-234,Radar Móvil,435.780-450.320,450.320
Burgos,N-234,Radar Móvil,450.320-451.700,451.700
Burgos,N-234,Radar Móvil,451.700-484.080,484.080
Burgos,N-620a,Radar Móvil,6.600-12.380,12.380
Burgos,N-622,Radar Móvil,47.850-76.980,76.980
Burgos,N-622,Radar Móvil,76.980-78.890,78.890
Burgos,N-622,Radar Móvil,78.890-79.990,79.990
Burgos,N-623,Radar Fijo,87.2,Decreciente
Burgos,N-627,Radar Móvil,18.910-54.310,54.310
Burgos,N-627,Radar Móvil,55.480-68.100,68.100
Burgos,N-627,Radar Fijo,67.1,Decreciente
Burgos,N-629,Radar Fijo,28.79,Creciente
Burgos,N-I,Radar Fijo,301,Creciente
Burgos,N-I,Radar Móvil,257.440-263.900,263.900
Burgos,N-I,Radar Móvil,263.900-277.510,277.510
Burgos,N-I,Radar Fijo,271.7,Creciente
Burgos,N-I,Radar Móvil,277.510-278.220,278.220
Burgos,N-I,Radar Móvil,301.980-321.450,321.450
Burgos,N-I,Radar Fijo,302.68,Decreciente
Burgos,N-I,Radar Fijo,303.8,Creciente
Cáceres,A-5,Radar Fijo,179.125,Decreciente
Cáceres,A-5,Radar Fijo,183.82,Creciente
Cáceres,A-66,Radar Fijo,508.074,Creciente
Cáceres,CC-100,Radar Móvil,0.000-14.720,14.720
Cáceres,CC-36,Radar Móvil,0.000-41.700,41.700
Cáceres,CC-38,Radar Móvil,1.500-8.400,8.400
Cáceres,EX-100,Radar Móvil,19.000-37.060,37.060
Cáceres,EX-100,Radar Móvil,3.020-16.5000,16.5000
Cáceres,EX-100,Radar Fijo,8.57,Creciente
Cáceres,EX-102,Radar Móvil,24.000-50.000,50.000
Cáceres,EX-106,Radar Móvil,0.000-6.710,6.710
Cáceres,EX-108,Radar Fijo,90.759,Decreciente
Cáceres,EX-108,Radar Móvil,81.310-101.960,101.960
Cáceres,EX-109,Radar Móvil,0.000-21.500,21.500
Cáceres,EX-109,Radar Fijo,15.01,Decreciente
Cáceres,EX-116,Radar Móvil,9.000-35.000,35.000
Cáceres,EX-118,Radar Móvil,0.000-72.000,72.000
Cáceres,EX-119,Radar Fijo,2.806,Decreciente
Cáceres,EX-119,Radar Móvil,0.000-32.530,32.530
Cáceres,EX-203,Radar Fijo,22.254,Creciente
Cáceres,EX-203,Radar Móvil,12.000-16.000,16.000
Cáceres,EX-203,Radar Móvil,2.700-7.000,7.000
Cáceres,EX-203,Radar Móvil,34.000-37.000,37.000
Cáceres,EX-205,Radar Móvil,68.480-110.380,110.380
Cáceres,EX-206,Radar Móvil,0.000-58.140,58.140
Cáceres,EX-207,Radar Móvil,0.000-5.400,5.400
Cáceres,EX-207,Radar Móvil,7.500-35.000,35.000
